ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
calendar_0,2026학년도 1학기 재학생 수강바구니(1차),2026-02-03(화)~2026-02-05(목),학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_1,학부제 예비전공 선택(신입생),,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_2,학위수여식,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_3,설 명절 연휴,2026-02-16(월)~2026-02-18(수),학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_4,2026학년도 1학기 재학생 수강바구니(2차),2026-02-19(목)~2026-02-22(일),학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_5,2026학년도 1학기 등록,2026-02-23(월)~2026-02-27(금),학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_6,2026학년도 입학식,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_7,2026학년도 1학기 신·편입생 수강신청 및 재학생 수강신청,2026-02-25(수)~2026-02-27(금),학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_8,2026학년도 1학기 휴·복학 종료일,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_9,2026학년도 1학기 개강,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_10,2026학년도 1학기 재학생 수강정정,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_11,수업일수 1/4선,1학기 수업개시 27일,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_12,학기개시일 30일선,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_13,수업일수 2/4선,1학기 수업개시 53일,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_14,근로자의 날,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_15,학기개시일 60일선,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_16,종합체육대회,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_17,수업일수 3/4선,1학기 수업개시 79일,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_18,학기개시일 90일선,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_19,2026지방선거,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_20,2026학년도 1학기 기말고사,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_21,계절학기 신청,,학사일정,여름계절,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_22,수업일수 4/4선,1학기 수업개시 105일,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_23,2026학년도 1학기 보강/학부제 (예비)전공 선택(재학생),,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_24,계절학기 수업,,학사일정,여름계절,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_25,성적입력 마감,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_26,성적열람 및 정정,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_27,성적사정회의,,학사일정,1학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_28,하계 대학 생존전략 세미나,,학사일정,여름계절,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_29,2026학년도 2학기 휴·복학 시작일,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_30,지정 연차 휴가일,,학사일정,여름계절,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_31,2026학년도 2학기 재학생 수강바구니,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_32,2026학년도 2학기 수강신청,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_33,2026학년도 2학기 등록,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_34,2026학년도 2학기 휴·복학 종료일,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_35,2026학년도 2학기 개강,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_36,2026학년도 2학기 재학생 수강정정,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_37,수시 원서접수,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_38,추석연휴,,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
calendar_39,수업일수 1/4선,2학기 수업개시 27일,학사일정,2학기,성남,Claude Upload Script,2026-02-09T11:25:34.160956+00:00,,
