ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
regulations_0,제31조(수료),"【1항】 각 학년의 수료에 필요한 최소학점은 다음과 같다. 1. 제1학년 수료: 30학점 이상, 2. 제2학년 수료: 60학점 이상, 3. 제3학년 수료: 90학점 이상

【2항】 의과대학의 각 학년 수료에 필요한 학점은 40학점 이상으로 한다.",학칙,,,,,,
regulations_1,제63조(공개강좌),"【1항】 본교에서 직무, 교양 또는 특수목적의 연구상 필요한 학술이론과 기술의 습득을 희망하는 자를 지도하기 위하여 공개강좌를 개설할 수 있다.

【2항】 공개강좌의 과목, 제목, 기간, 수강자격, 정원, 개설 장소 및 그 밖의 필요한 사항은 총장이 따로 정한다.",학칙,,,,,,
regulations_2,제13조의1(입학전형의선행교육 영향평가),"【1항】 입학전형에서 대학별 고사를 실시하는 경우 선행교육 유발에 대한 영향평가를 실시한다.

【2항】 선행교육 영향평가에 대한 필요한 사항은 이를 따로 정한다.",학칙,,,,,,
regulations_3,제20조(수강신청),"【1항】 수강신청은 매 학기에 수강할 교과목을 정해진 기간 내에 전산입력하여 신청한다.

【2항】 수강과목의 변경절차는 학칙시행세칙 제15조에서 따로 정한다.

【3항】 실습과목을 제외하고는 한 과목에 대한 수강신청자가 10명 미만일 때에는 총장이 해당 과목을 폐강할 수 있다.

【4항】 캠퍼스 간 교차수강을 할 수 있다.",학칙,,,,,,
regulations_4,제24조(제적),"【1항】 학생으로서 다음 각 호에 해당할 때에는 소속 학장의 제청에 의하여 총장이 이를 제적할 수 있다. 1. 휴학기간 만료 후 4주가 넘도록 이유 없이 복학하지 않은 자, 2. 4주 이상 무단결석한 자, 3. 매 학기 개강 4주 기간 내에 등록을 완료하지 않은 자, 4. 학업 성적이 열등하여 재학연한을 이수하여도 졸업이 불가능한 자, 5. 3회 연속하여 학사경고를 받은 자, 6. 다른 대학에 신입 또는 편입학한 자, 7. 본인 사망

【2항】 의과대학 의예과, 의학과는 전항 각 호의 사유 이외에 유급으로 인한 제적사유를 학사운영내규로 별도로 정한다.",학칙,,,,,,
regulations_5,제65조(교수회),"본교 교육에 관한 중요 사항을 심의하기 위하여 전체 교수회, 캠퍼스 교수회 및 대학별 교수회를 둔다.",학칙,,,,,,
regulations_6,제90조(시행세칙),이 학칙의 시행에 필요한 사항은 총장이 이를 별도로 정한다.,학칙,,,,,,
regulations_7,제88조(장애학생편의제공),"「장애인차별금지 및 권리구제 등에 관한 법률」에 따라 장애학생이 교육활동 등에 불이익이 없도록 정당한 편의를 적극적으로 강구하고 제공하며, 이에 관한 세부사항은 따로 정한다.",학칙,,,,,,
regulations_8,제87조(장애학생지원),"「장애인 등에 대한 특수교육법」에 따라 장애학생특별지원위원회와 인권센터 소수학생지원실및 장애학생지원센터를 설치·운영하며, 이에 관한 세부사항은 따로 정한다.",학칙,,,,,,
regulations_9,제71조(총학생회설치 및 운영),"【1항】 건전한 학풍을 조성하고 지도력과 자치능력을 배양하여 대학설립정신과 교육이념에 입각한 학생자치활동을 실현하기 위하여 총학생회를 두며, 본회의 조직과 운영에 관한 사항은 이를 회칙으로 따로 정한다.

【2항】 학생활동을 지도하기 위하여 지도교수를 둘 수 있다.",학칙,,,,,,
regulations_10,제26조(교육과정),"【1항】 본교의 전 교육과정은 교육과정심의위원회 및 대학평의원회에서 교육과정의 편성과 운영에 관한 심의를 거친 후 총장이 정한다.

【2항】 (삭제)

【3항】 학과의 교육과정에는 수료에 필수적으로 요구되는 교양 및 전공과목과 Pass과목의 수 및 학점을 명확하게 기록하여 학생들의 수강신청 시에 반영되도록 하여야 한다. 이에 대한 자세한 사항은 별도로 정한다.

【4항】 이에 대한 자세한 사항은 교육과정편성 및 운영규정에 따른다.",학칙,,,,,,
regulations_11,제21조(휴학),"【1항】 학생이 병역의무, 임신·출산·육아, 질병, 그 밖에 부득이한 사유로 인하여 4주 이상 계속 수학이 불가능한 경우에는 증빙자료를 첨부한 휴학원을 제출하여 총장의 허가를 받아 휴학할 수 있다.

【2항】 휴학자는 휴학기간 중 학적을 보유하나 휴학기간은 재학기간에 산입하지 않는다.

【3항】 휴학기간은 1회에 1학기 또는 1학년도 단위로 하며 휴학은 재학 중 3년(의학과는 4년)을 초과할 수 없다. 다만, 병역의무, 임신·출산·육아(2년 이내), 장애, 창업으로 인한 휴학은 휴학횟수 및 휴학기간에 산입하지 않는다.

【4항】 휴학은 학기 중의 질병, 군입영, 임신·출산·육아 등과 같은 특수한 사정을 제외하고는 학기 개시일로부터 4주 이내에 허가함을 원칙으로 한다. 단, 등록을 마친 자에 한하여 수업일수 4분의 2선까지 허가함을 원칙으로 한다.

【5항】 의과대학 의학과의 휴학에 관한 사항은 따로 정한다.",학칙,,,,,,
regulations_12,제42조(학점은행제),"【1항】 학점인정 등에 관한 법률에서 정한 평생학습권을 보장하기 위하여 학점은행제에 의한 학사학위(별지 제3호 서식)를 수여한다.

【2항】 학점은행제의 운영은 평가인정 학습과정 운영에 관한 규정」을 준용하되 제13조(적용의 배제)는 제외한다.

【3항】 그 밖의 필요한 사항은 따로 정한다.

【4항】 학점은행제 학위수여 운영에 필요한 사항은 학칙시행세칙으로 정한다",학칙,,,,,,
regulations_13,제49조(성적평가),"【1항】 학업성적은 각 교과목별로 시험성적, 출석성적, 과제물 및 수업 참여도를 종합평가하여 100점 만점으로 한다. 다만, 교육과정운영위원회에서 별도로 정한 Pass과목은 P(Pass) 혹은 NP(Nonpass)로 평가한다.

【2항】 각 과목별 학업성적은 다음과 같이 분류하며, D급 이상과 P를 취득학점으로 인정한다. 등급: A+ (4.5, 95점 이상), A (4.0, 90~94점), B+ (3.5, 85~89점), B (3.0, 80~84점), C+ (2.5, 75~79점), C (2.0, 70~74점), D+ (1.5, 65~69점), D (1.0, 60~64점), P (학점인정), H(Honorship Pass) 등급 중 상위 15%(졸업인증제 및 현장실습과목에 한하며, 상위15%인자 중 과목별 세부기준에 따라 부여할 수 있음), I(Incomplete) (성적유예), F (0, 59점 이하)

【3항】 이미 인정된 학점이라도 과오 또는 부정행위에 의하여 취득되었음이 확인된 때에는 이를 취소한다.",학칙,,,,,,
regulations_14,제75조(활동및 간행물),"【1항】 학생은 다음의 사항에 대하여 주무부서에 사전 신고하고 총장의 승인을 받아야 한다. 1. 교내외 10명 이상의 집회, 2. 교내광고, 인쇄물의 부착 또는 배부, 3. 각 기관 또는 개인에 대한 학생활동 후원요청 및 시상의뢰, 4. 외부인사의 학내초청

【2항】 학생단체 또는 학생의 모든 정기, 부정기 간행물을 지도교수의 추천과 총장의 승인을 받아 발행하며 간행물의 편집을 위하여 약간 명의 지도교수를 둘 수 있다.",학칙,,,,,,
regulations_15,제55조(등록금의감면),"등록금은 특별한 규정이 있는 경우를 제외하고는 결석, 정학, 제적 또는 그 밖의 이유로 감면되지 않는다.",학칙,,,,,,
