ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
학칙_대학_0,제1조(목적),"을지대학교(이하 '본교')는 우리나라 대학교육의 보편적 목적과 본교의 교훈인 '연구하고 봉사하는 보건의료인'을 구현할 수 있는 인재를 육성하기 위하여 학문의 심오한 이론과 응용방법을 교수, 연구함으로써 개인의 자아를 실현하고 지역사회와 국가, 나아가 인류사회의 다양한 요구에 부응할 수 있는 인재를 양성함을 목적으로 한다.",학칙_대학 > 학칙 > 제1장 총칙,,,,,,
학칙_대학_1,1항,"본교는 대전광역시에 소재하는 대전캠퍼스와 경기도 성남시에 소재하는 성남캠퍼스, 경기도 의정부에 소재하는 의정부캠퍼스를 둔다.",학칙_대학 > 학칙 > 제2장 조직과 학생정원 > 제2조(소재 및 교육조직),,,,,,
학칙_대학_2,2항,"대전캠퍼스에는 의과대학을 두고, 성남캠퍼스에는 간호대학, 보건과학대학, 미래융합대학, 첨단학부, 자연계열학부, 인문사회계열학부, 교양학부를 두며, 의정부캠퍼스에는 간호대학, 보건과학대학, 미래융합대학, 자유전공학부, 대학원, 보건복지대학원, 임상간호대학원을 둔다.",학칙_대학 > 학칙 > 제2장 조직과 학생정원 > 제2조(소재 및 교육조직),,,,,,
학칙_대학_3,3항,"대전캠퍼스 및 성남캠퍼스, 의정부캠퍼스에는 각각 독자적으로 교육적 필요에 따라 부속기관 및 부설기관을 둘 수 있다.",학칙_대학 > 학칙 > 제2장 조직과 학생정원 > 제2조(소재 및 교육조직),,,,,,
학칙_대학_4,1항,"학생의 정원은 입학정원을 기준으로 하며, 단과대학의 학과 및 학부에 대한 입학정원을 말한다. 다만, 학문의 특성 또는 교육과정의 운영상 필요하다고 인정하는 경우에는 해당 학과(전공)나 학부별로 모집단위를 정할 수 있다.",학칙_대학 > 학칙 > 제2장 조직과 학생정원 > 제3조(학생정원과 수여학위),,,,,,
학칙_대학_5,2항,각 대학의 학과(전공) 및 입학정원과 수여학위는 별표 1및 2와 같다.,학칙_대학 > 학칙 > 제2장 조직과 학생정원 > 제3조(학생정원과 수여학위),,,,,,
학칙_대학_6,1항,"본 대학에 외국인 유학생, 성인학습자 및 재직자를 대상으로하는 정원외 전담학과를 설치할 수 있다.",학칙_대학 > 학칙 > 제2장 조직과 학생정원 > 제3조의2(정원외 전담학과 설치),,,,,,
학칙_대학_7,2항,정원외 전담학과의 학과 및 입학정원은 제3조의 정원과는 별도로 한다.,학칙_대학 > 학칙 > 제2장 조직과 학생정원 > 제3조의2(정원외 전담학과 설치),,,,,,
학칙_대학_8,3항,정원외 전담학과의 운영에 관한 세부사항은 별도로 정한다.,학칙_대학 > 학칙 > 제2장 조직과 학생정원 > 제3조의2(정원외 전담학과 설치),,,,,,
학칙_대학_9,1항,"각 대학의 수업연한은 4년(8학기)으로 함을 원칙으로 한다. 다만, 의과 대학의 의예과와 의학과는 별도로 정한 바를 따른다.",학칙_대학 > 학칙 > 제3장 수업연한과 재학연한 > 제4조(수업연한),,,,,,
학칙_대학_10,2항,"성적이 우수한 학생은 별도로 정한 학업성적 기준에 따라 6학기 혹은 7학기로 수업연한을 단축할 수 있다. 다만, 의학과는 제외한다.",학칙_대학 > 학칙 > 제3장 수업연한과 재학연한 > 제4조(수업연한),,,,,,
학칙_대학_11,1항,"각 대학의 재학연한은 8년(16학기)을 초과할 수 없다. 다만, 총장이 인정하는 장애학생은 재학연한을 제한하지 아니하며, 의과대학의 의예과와 의학과는 별도로 정한 바를 따른다.",학칙_대학 > 학칙 > 제3장 수업연한과 재학연한 > 제5조(재학연한),,,,,,
학칙_대학_12,2항,편입학생의 재학연한은 본교에서 수업하여야 할 연한의 2배를 초과하지 못한다.,학칙_대학 > 학칙 > 제3장 수업연한과 재학연한 > 제5조(재학연한),,,,,,
학칙_대학_13,3항,재입학생의 재학연한은 재입학 후 본교에서 수업하여야 할 연한의 2배를 초과하지 못한다.,학칙_대학 > 학칙 > 제3장 수업연한과 재학연한 > 제5조(재학연한),,,,,,
학칙_대학_14,4항,"재학연한 내에 본교 졸업의 소요과정을 이수하지 못한 자는 제적된다. 다만, 휴학기간은 재학연한의 계산에 포함되지 않는다.",학칙_대학 > 학칙 > 제3장 수업연한과 재학연한 > 제5조(재학연한),,,,,,
학칙_대학_15,제6조(학년),학년은 3월 1일부터 다음 해 2월 말까지로 한다.,"학칙_대학 > 학칙 > 제4장 학년, 학기 및 학습형태",,,,,,
학칙_대학_16,1항,"학기는 다음과 같이 나눈다. 1. 제1학기 : 3월 1일부터 8월 31일까지, 2. 제2학기 : 9월 1일부터 다음 해 2월 말까지, 3. 계절학기 : 필요에 따라 계절학기를 개설할 수 있으며 계절학기 개설에 필요한 사항은 따로 정한다. 4. 실습학기 현장실습은 필요에 따라 방학 중 실습학기로 운영할 수 있다.","학칙_대학 > 학칙 > 제4장 학년, 학기 및 학습형태 > 제7조(학기 및 학습형태)",,,,,,
학칙_대학_17,2항,제2학기의 시작은 2주 내의 범위에서 학기개시일 전에 개강할 수 있다.,"학칙_대학 > 학칙 > 제4장 학년, 학기 및 학습형태 > 제7조(학기 및 학습형태)",,,,,,
학칙_대학_18,3항,"임상실습을 하는 학년(의학과 3, 4학년 등)은 학년제로 운영할 수 있다.","학칙_대학 > 학칙 > 제4장 학년, 학기 및 학습형태 > 제7조(학기 및 학습형태)",,,,,,
학칙_대학_19,4항,제1항의 학기 구분에도 불구하고 3학기 이상의 다학기제 및 학년 또는 학위과정별로 다른 유연학기제를 운영할 수 있으며 세부사항은 총장이 따로 정한다.,"학칙_대학 > 학칙 > 제4장 학년, 학기 및 학습형태 > 제7조(학기 및 학습형태)",,,,,,
학칙_대학_20,5항,"학습형태는 각 교육과정에 근거하여 과목별 학습은 출석학습을 원칙으로 한다. 다만, 교육과정 운영상 필요한 경우 출석학습 외에 원격수업 및 자율학습, 산업체 현장학습, 과제학습 등에 의하여 당해교과목을 이수하게 할 수 있다.","학칙_대학 > 학칙 > 제4장 학년, 학기 및 학습형태 > 제7조(학기 및 학습형태)",,,,,,
학칙_대학_21,6항,학기 및 학습형태에 관한 세부사항은 총장이 따로 정한다.,"학칙_대학 > 학칙 > 제4장 학년, 학기 및 학습형태 > 제7조(학기 및 학습형태)",,,,,,
학칙_대학_22,1항,"수업일수는 매 학년 30주(매 학기 15주) 이상으로 한다. 다만, 천재지변 또는 그 밖에 교육과정의 운영상 부득이한 사유로 수업일수를 충족하기 어려울 경우에는 2주 한도 내에서 감축할 수 있다.",학칙_대학 > 학칙 > 제5장 수업과 휴업 > 제8조(수업일수),,,,,,
학칙_대학_23,2항,의과대학 의학과의 수업일수는 별도로 정한 바를 따른다.,학칙_대학 > 학칙 > 제5장 수업과 휴업 > 제8조(수업일수),,,,,,
학칙_대학_24,3항,"제1항에 따른 수업일수는 교육과정 운영상 필요에 따라 단축하여 운영할 수 있으며, 제27조에 따른 학점당 이수시간(학점당 15시간 이상)의 이수에 지장이 없어야 한다.",학칙_대학 > 학칙 > 제5장 수업과 휴업 > 제8조(수업일수),,,,,,
학칙_대학_25,4항,제3항에 따라 수업일수를 단축하여 운영하는 경우 같은 학기 내에서 주말 등을 활용한 집중수업(이하 '집중이수제')을 개설하여 운영할 수 있으며 세부사항은 총장이 따로 정한다.,학칙_대학 > 학칙 > 제5장 수업과 휴업 > 제8조(수업일수),,,,,,
학칙_대학_26,1항,"정기휴업은 다음과 같다. 1. 국정공휴일, 2. 개교기념일, 3. 하계방학, 4. 동계방학",학칙_대학 > 학칙 > 제5장 수업과 휴업 > 제9조(휴업일),,,,,,
